campaign,topology,world,operator,tokens_per_rank,metric,share_percent,share_std_pp,duration_us,duration_std_us
micro,2n4,8,dispatch,8,entry_sync,20.57,0.06,15.09,0.06
micro,2n4,8,dispatch,8,signal_window,19.33,0.19,14.26,0.16
micro,2n4,8,combine,8,entry_sync,19.84,0.13,15.15,0.03
micro,2n4,8,combine,8,signal_window,17.66,0.57,13.49,0.35
micro,2n4,8,dispatch,32,entry_sync,12.25,0.17,15.35,0.46
micro,2n4,8,dispatch,32,signal_window,9.50,0.40,11.61,0.30
micro,2n4,8,combine,32,entry_sync,12.26,0.26,15.04,0.22
micro,2n4,8,combine,32,signal_window,9.38,0.50,11.32,0.46
micro,2n4,8,dispatch,64,entry_sync,8.29,0.51,14.90,0.10
micro,2n4,8,dispatch,64,signal_window,6.31,0.84,11.19,0.84
micro,2n4,8,combine,64,entry_sync,8.20,0.16,14.82,0.13
micro,2n4,8,combine,64,signal_window,6.45,0.16,11.57,0.23
micro,2n4,8,dispatch,128,entry_sync,4.88,0.04,15.05,0.21
micro,2n4,8,dispatch,128,signal_window,3.79,0.10,11.63,0.38
micro,2n4,8,combine,128,entry_sync,5.05,0.19,14.95,0.23
micro,2n4,8,combine,128,signal_window,3.95,0.35,11.61,0.70
e2e_decode_conc64,1n8,8,dispatch+combine,8,entry_sync,9.33,0.12,,
e2e_decode_conc64,2n4,8,dispatch+combine,8,entry_sync,16.72,0.10,,
e2e_decode_conc128,1n8,8,dispatch+combine,16,entry_sync,7.94,0.15,,
e2e_decode_conc128,2n4,8,dispatch+combine,16,entry_sync,15.19,0.05,,
