topology,path,tokens_per_rank,round,ll_dispatch_p50_us,ll_dispatch_p95_us,ll_combine_p50_us,ll_combine_p95_us,ll_ep_p50_us,ll_ep_p95_us,v2_dispatch_p50_us,v2_dispatch_p95_us,v2_combine_p50_us,v2_combine_p95_us,v2_ep_p50_us,v2_ep_p95_us,speedup_ep_p50
2n8,hybrid,8,1,77.8,110.0,60.7,66.5,138.5,176.4,46.9,47.8,81.0,82.8,127.8,130.6,1.08
2n8,hybrid,8,2,225.0,245.2,66.0,111.9,291.0,357.1,46.7,47.7,80.6,82.4,127.3,130.1,2.29
2n8,hybrid,8,3,113.9,229.9,81.1,105.5,195.0,335.4,46.6,47.7,80.7,82.7,127.3,130.4,1.53
2n8,hybrid,16,1,222.7,246.7,115.6,127.4,338.3,374.1,49.4,50.5,83.8,85.6,133.2,136.1,2.54
2n8,hybrid,16,2,216.7,232.3,103.9,114.8,320.6,347.1,49.4,50.7,84.0,86.0,133.4,136.6,2.40
2n8,hybrid,16,3,107.9,156.5,110.3,137.9,218.2,294.4,49.3,50.6,84.0,86.0,133.3,136.5,1.64
2n8,hybrid,32,1,129.1,164.5,136.3,173.9,265.5,338.4,55.9,57.2,101.7,103.4,157.6,160.6,1.68
2n8,hybrid,32,2,176.0,246.8,158.2,178.7,334.3,425.5,56.0,57.2,102.0,103.4,157.9,160.6,2.12
2n8,hybrid,32,3,164.1,188.1,159.6,183.2,323.7,371.3,55.9,57.3,102.0,103.4,157.9,160.7,2.05
2n8,hybrid,64,1,275.2,301.8,220.8,240.2,496.0,541.9,67.1,68.5,133.8,135.4,200.9,204.0,2.47
2n8,hybrid,64,2,289.2,321.7,209.5,221.9,498.6,543.6,67.2,68.8,133.7,135.0,200.8,203.8,2.48
2n8,hybrid,64,3,160.3,238.3,180.3,254.1,340.6,492.3,67.2,68.6,133.8,135.0,200.9,203.6,1.70
2n8,hybrid,128,1,268.5,1385.8,325.2,1549.4,593.7,2935.1,92.9,94.3,213.6,215.6,306.5,309.9,1.94
2n8,hybrid,128,2,222.4,269.4,247.4,294.5,469.8,563.9,93.1,94.7,213.6,215.4,306.8,310.1,1.53
2n8,hybrid,128,3,271.1,335.8,290.2,357.6,561.3,693.3,92.9,94.6,213.8,215.7,306.8,310.3,1.83
2n4,hybrid,8,1,69.5,236.4,62.6,75.5,132.1,311.9,46.2,47.2,71.0,74.0,117.2,121.3,1.13
