topology,ep,path,tokens_per_rank,ll_r1_us,ll_r2_us,v2_us,reported_conservative_ll_over_v2,v2_gate_us_topology,v2_gate_share,repeat_note,source_status
2n4,8,hybrid,8,57.1,222.8,46.0,1.24,10.9,0.22,two LL and two V2 runs,user-provided summary; raw not local
2n4,8,hybrid,32,234.0,,53.5,4.37,10.9,,one LL and one V2 run,user-provided summary; raw not local
2n4,8,hybrid,128,289.8,249.3,86.9,2.85,10.9,0.12,two LL and two V2 runs,user-provided summary; raw not local
2n4,8,hybrid,1024,1304,,438,2.98,10.9,,one LL and one V2 run,user-provided summary; raw not local
2n8,16,hybrid,8,222.3,63.8,48.2,1.32,10.8,0.21,two LL and two V2 runs,user-provided summary; raw not local
2n8,16,hybrid,32,128.4,,56.4,2.28,10.8,,one LL and one V2 run,user-provided summary; raw not local
2n8,16,hybrid,128,429.7,416.4,92.6,4.49,10.8,0.11,two LL and two V2 runs,user-provided summary; raw not local
2n8,16,hybrid,1024,5380,,491,10.95,10.8,,one LL and one V2 run; LL unusable,user-provided summary; raw not local
1n8,8,direct,8,33.3,33.3,15.0,2.22,4.5,0.25,two LL and two V2 runs,user-provided summary; raw not local
1n8,8,direct,32,37.8,,21.0,1.80,4.5,,one LL and one V2 run,user-provided summary; raw not local
1n8,8,direct,128,63.7,63.7,52.8,1.21,4.5,0.08,two LL and two V2 runs,user-provided summary; raw not local
1n8,8,direct,1024,314,,336,0.93,4.5,,one LL and one V2 run,user-provided summary; raw not local

